"Frage","Antwort1","Antwort2","Antwort3","Antwort4"
"Frage 1: Welche Funktionskategorien müssen Organismen zum Überleben beherrschen?","Antwort 1.1: Ernährungsfunktionen, Beziehungsfunktionen, Fortpflanzungsfunktion","Antwort 1.2: Ernährungsfunktionen, Verdauungsfunktion, Muskelfunktion","Antwort 1.3: Knochenfunktion, Atmungsfunktion, Muskelfunktion","Antwort 1.4: Beziehungsfunktionen, Knochenfunktion, Atmungsfunktion"
"Frage 2: Welche der folgenden Aussagen in Bezug auf Pflanzenbewegungen ist richtig?","Antwort 2.1: Passive Bewegungen werden von Pflanzen oder deren Teilen ausgelöst und verbrauchen Energie.","Antwort 2.2: Die Hauptkategorien der aktiven Bewegungen sind Tropismen, Nastien und Taktismen.","Antwort 2.3: Die Hauptkategorien der passiven Bewegungen sind Phototropismus, Geotropismus und Hydrotropismus.","Antwort 2.4: Aktive Bewegungen werden durch physikalische Mechanismen und Umweltfaktoren bestimmt."
"Frage 3: Wegen des Geotropismus","Antwort 3.1: richten sich Blätter zum Licht aus","Antwort 3.2: richtet sich die Wurzel zum Erdmittelpunkt aus","Antwort 3.3: suchen Wurzeln nach wasserreichen Bodenzonen","Antwort 3.4: suchen Wurzeln nach mineralstoffreicheren Bodenzonen"
"Frage 4: Bewegungen bei Tropismen sind","Antwort 4.1: passiv","Antwort 4.2: aktiv","Antwort 4.3: aktiv und passiv","Antwort 4.4: weder aktiv noch passiv"
"Frage 5: Welche der folgenden Aussagen in Klassifizierung des Nervensystems ist richtig?","Antwort 5.1: Das Nervensystem kann nach Lage in somatisches und vegetatives eingeteilt weden.","Antwort 5.2: Das Nervensystem kann nach Rolle in Zentralnervensystem und peripheres Nervensystem eingeteilt weden.","Antwort 5.3: Das Nervensystem kann nach Rolle in somatisches und vegetatives eingeteilt weden.","Antwort 5.4: Das Nervensystem kann nach Lage in peripheres und vegetatives eingeteilt weden."
"Frage 6: Die Organe des Nervensystems bestehen nicht aus","Antwort 6.1: Nervengewebe","Antwort 6.2: Blutgefäßen","Antwort 6.3: weichem Bindegewebe","Antwort 6.4: Knochengewebe"
"Frage 7: Gliazellen spielen keine Rolle","Antwort 7.1: beim Stützen der Neuronen","Antwort 7.2: beim Ernähren der Neuronen","Antwort 7.3: bei der Erzeugung der Nervenimpulse","Antwort 7.4: bei der Myelinproduktion"
"Frage 8: Das Neuron kann haben","Antwort 8.1: mehrere Zellkörper","Antwort 8.2: mehrere Dendriten","Antwort 8.3: mehrere Axone","Antwort 8.4: einen kernlosen Zellkörper"
"Frage 9: Die Dendriten","Antwort 9.1: sind in der Regel weniger häufig als Axone","Antwort 9.2: leiten Nervenimpulse zum Zellkörper","Antwort 9.3: haben oft Schutzhüllen","Antwort 9.4: haben Endverästelungen mit chemischen Botenstoffen"
"Frage 10: Das Axon","Antwort 10.1: leitet Nervenimpulse zum Zellkörper","Antwort 10.2: kann unterschiedliche Schutzhüllen haben","Antwort 10.3: fehlt bei den sensitiven Neuronen","Antwort 10.4: gibt es nur im Zentralnervensystem"
"Frage 11: Das ZNS","Antwort 11.1: befindet sich im Inneren einer knöchernen Struktur","Antwort 11.2: wird von der Hirnhaut geschützt","Antwort 11.3: ist vom Liquor umgeben","Antwort 11.4: alle Varianten sind richtig"
"Frage 12: Zur Lage der Organe des ZNS ist richtig","Antwort 12.1: das Kleinhirn liegt hinter dem Rückenmark","Antwort 12.2: der Hirnstamm liegt vor dem Kleinhirn","Antwort 12.3: das Rückenmark befindet sich über dem Hirnstamm","Antwort 12.4: das Großhirn ist unterhalb des Kleinhirns"
"Frage 13: Über den äußeren Aufbau des ZNS stimmt","Antwort 13.1: das Großhirn besteht aus zwei völlig getrennten Gehirnhälften","Antwort 13.2: das Kleinhirn besteht aus zwei Kleinhirnhälften, die durch eine Längsspalte voneinander getrennt sind","Antwort 13.3: der Hirnstamm hat drei Abschnitte","Antwort 13.4: das Rückenmark hat fünf verdickte Abschnitte"
"Frage 14: Wähle die richtige Aussage:","Antwort 14.1: die Großhirnrinde hat eine Fläche von 1000 cm²","Antwort 14.2: die Kleinhirnrinde hat 2200 cm²","Antwort 14.3: die Großhirnrinde hat 16–18 Milliarden Neuronen","Antwort 14.4: die Kleinhirnrinde ist 2–4 mm dick"
"Frage 15: Wähle die richtige Aussage:","Antwort 15.1: die Kleinhirnrinde hat eine Fläche von 1000 cm²","Antwort 15.2: die Kleinhirnrinde hat 1800 cm²","Antwort 15.3: die Großhirnrinde ist 6–8 mm dick","Antwort 15.4: die Kleinhirnrinde ist 2–4 mm dick"
"Frage 16: Wähle die richtige Aussage:","Antwort 16.1: das menschliche Gehirn hat eine Masse von etwa 2400 Gramm","Antwort 16.2: die Kleinhirnrinde hat 2400 cm²","Antwort 16.3: die Großhirnrinde ist 8–10 mm dick","Antwort 16.4: das menschliche Gehirn hat eine Masse von etwa 1400 Gramm"
"Frage 17: Was ist die Hauptfunktion des Rückenmarks?","Antwort 17.1: Informationsverarbeitung","Antwort 17.2: Übertragung von Nervenimpulsen zwischen Körper und Gehirn","Antwort 17.3: Blutversorgung des Gehirns","Antwort 17.4: Hormonproduktion"
