Index.Antwort,LLM_Vollständige_Antwort
1.1,"Antwort 1.1: Ernährungsfunktionen, Beziehungsfunktionen, Fortpflanzungsfunktion"
2.2,"Antwort 2.2: Die Hauptkategorien der aktiven Bewegungen sind Tropismen, Nastien und Taktismen."
3.2,Antwort 3.2: Antwort 3.2: richtet sich die Wurzel zum Erdmittelpunkt aus
4.2,Antwort 4.2: aktiv
5.2,Antwort 5.2: Das Nervensystem kann nach Rolle in Zentralnervensystem und peripheres Nervensystem eingeteilt weden.
6.2,Antwort 6.2: Blutgefäßen
7.3,Antwort 7.3: C) bei der Erzeugung der Nervenimpulse
8.2,Antwort 8.2: mehrere Dendriten
9.2,Antwort 9.2: leiten Nervenimpulse zum Zellkörper
10.1,Antwort 10.1: leitet Nervenimpulse zum Zellkörper
11.4,Antwort 11.4: alle Varianten sind richtig
12.1,Antwort 12.1: das Kleinhirn liegt hinter dem Rückenmark
13.3,Antwort 13.3: der Hirnstamm hat drei Abschnitte
14.3,Antwort 14.3: die Großhirnrinde hat 16–18 Milliarden Neuronen
15.4,Antwort 15.4: die Kleinhirnrinde ist 2–4 mm dick
16.3,Antwort 16.3: die Großhirnrinde ist 8–10 mm dick
17.2,Antwort 17.2: Übertragung von Nervenimpulsen zwischen Körper und Gehirn
18.1,Antwort 18.1: Sowohl sensorische als auch motorische Nerven
19.3,Antwort 19.3: 12
20.2,Antwort 20.2: Jedes Paar versorgt eine spezifische Körperregion
21.3,Antwort 21.3: Hirnrinde
22.1,Antwort 22.1: Synthese von Blutzellen
23.3,Antwort 23.3: Durch die Wirbelsäule
24.2,Antwort 24.2: Übermittlung von Informationen zwischen Gehirn und Teilen des Körpers
25.2,Antwort 25.2: Es umfasst Nerven außerhalb des Gehirns und Rückenmarks
26.2,Antwort 26.2: Schnelle Reaktion auf Reize
27.4,Antwort 27.4: Blauer Fleck
28.2,Antwort 28.2: Lichtstrahlen in ein scharfes Bild
29.3,Antwort 29.3: Die Aderhaut liegt über der Lederhaut.
30.1,Antwort 30.1: Kurzsichtigkeit wird auch Myopie genannt.
31.1,Antwort 31.1: ist eine genetisch bedingte Krankheit
32.4,Antwort 32.4: Unterohr
33.2,Antwort 33.2: Der äußere Gehörgang ist ca. 4 – 5 cm lang.
34.3,Antwort 34.3: C) Riechschleimhaut
35.4,"Antwort 35.4: Der Mensch kann ungefähr 50 Primärgerüche unterscheiden, die in zehn Geruchsklassen unterteilt werden."
36.4,Antwort 36.4: Magnetismus
37.3,Antwort 37.3: Iris
33.2,Antwort 33.2: Im Innenohr
39.2,Antwort 39.2: Wahrnehmung von Gerüchen
40.1,Antwort 40.1: Süß
41.3,Antwort 41.3: Gleichgewichtssinn
42.4,Antwort 42.4: Endodermis
43.2,Antwort 43.2: Schweißdrüsen
44.2,Antwort 44.2: Schutz vor äußeren Einflüssen
45.3,Antwort 45.3: Talgdrüsen
46.3,Antwort 46.3: Blutbildung
47.3,Antwort 47.3: Insulin
48.1,Antwort 48.1: Regulierung des Stoffwechsels
